CompanyName,JobDesc
CommScope,"['\nProvide 24x7 technical support for ARRIS customers and other internal employees via phone or email, for ARRIS HFC products including CMTS, ServAssure, CorView, ATS, Cable Modems and various 3rd party hardware, EMS and NMS. This includes handling customer cases during business hours and being on-call for emergencies on a rotating Schedule.\nPerform investigation and analysis, problem reproduction, and resolution of customer problems.\nWork closely with Tier-2 Tech Support and Sustaining Engineering groups to resolve customer issues\nPerform fault reproduction and troubleshooting, system characterization and analysis, root cause analysis of product issues up to and including drafting product Field Bulletins and opening Product Defects with the engineering teams.\nUtilize Call Tracking and Knowledge base tools to record customer reported issues and progress as being issue to resolution.\nTravel to customer locations to support trouble shooting and also may help out other groups in support of trials possibly long with Field Validation projects.\nDelivery of additional services like informal local training sessions, as well as professional services on-site.\nProvide initiatives for improvement of support processes; communicate these in an accurate and timely manner.\nPerform other duties as required', '\nExperience working in the telecommunications industry, with knowledge of cable broadband (HFC) concepts and services as well as the direction in which the industry is moving.\nGood knowledge of programming languages such as C/C++\nHands on skills of scripting language, python, JavaScript, PowerShell, Bash etc.\nKnowledge of database e.g. Oracle, SQL, Cassandra.\nSolid knowledge about performance management, CPU monitoring, memory management\nRouting and Switching, CCNA preferred with good knowledge on routing protocols: OSPF, RIP, IS-IS or BGP.\nExperience working with Virtualisation environments such as VMware, Docker.\nWork to meet contracted customer’s SLAs by providing in-time workaround, extensive root cause analysis for high priority tickets.\nUnderstand time management skills and addressing business needs in a prioritized manner\nPractical experience working in an Agile environment\nWilling to take on ownership, driving discussions and enabling solutions\nAbility to solve complex issues by identifying the scope of the problem and pooling necessary resources (i.e., H/W, S/W, Verification etc.)\nFamiliar with CRM tools (call tracking, knowledge Base, etc…)\nDemonstrate effective writing and presentation skills to all levels of management\nWork independently – Self Motivated\nAble to effectively interact with all levels of personnel, including senior management.\nStrong organizational, communication and interpersonal skills.\nDedication and flexibility to get the job done even outside of normal business hours.\nAbility to interface with CommScope design and other teams using proficient spoken and written English.\nWork closely with team members and to resolve issues as a team for all issues.\nAbility to perform training both internal and external\nMandatory requirement with good knowledge of Linux/Unix\nCitrix, Microsoft server apps (AD, LDAP, SQL), Radius, DHCP, SNMP experience, WEB service a Plus', ""\nBachelor's degree with technical focus, preferably Engineering or Computer Science degree and 6+ years relevant experience\nCCNA, CCNP, 802.11 Wi-Fi, IPv6\nMinimum 6+ years in a Customer Service or similar technical support position""]"
Veeva Systems,"['\nSupport OpenData Delivery projects from conception to completion within scope and on time.\nAssist with the management of customer relationships, provide secondary support to the customer during project implementation, post-implementation support and maintenance, acting as a subject matter expert of Veeva OpenData Delivery offering.\nDesign, develop and test CRM and MDM integration solutions as well as successful deployment to ensure project success.\nImplement automated data collection and validation processes\nAnalyse and perform data matching, cleansing, validation and load on incoming customer data by using/developing ETL processes for automated workflows.\nCreate project documentation and create functional specifications for internal/external stakeholders.\nCreate project status reports and provide updates to key stakeholders\nProvide day to day Veeva OpenData support to both internal and external customers', '\nDegree qualified in Computer Science or Business IT or Information Systems\nAt least 1 years in CRM development and implementation, SaaS Salesforce experience preferred\nGood communication skills\nGood English skills\nAbility to work with customers and team members based in different regions and time zones\nHighly organized, advanced planning and analytical skills.\nAbility to perform in high demand matrix team-based environment\nExtensive experience working with relational databases and the SQL language i.e. MS SQL Server, MySQL, PostgreSQL, and Analytical/Database Tools\nExperience in analysis query language like PowerQuery or DAX, and reporting tools such as Tableau.\nExperience in a scripting language (Python, R, Perl, Ruby, etc.)\nExperience and understanding of ETL concepts\nProficiency working with data to identify trends and anomalies.\nExperience in project management\nAbility to self-manage multiple simultaneous projects', '\nUnderstanding of Master Data Management and systems.\nExperience with medical and life sciences related industries referred\nKnowledge of medical terminology and data quality and compliance standards within the life sciences industry\nExperience with Veeva CRM and/or Veeva Network', '\nCoffee, fresh fruits and snacks']"
Woolworths Supermarkets,"['Working with stakeholders to create sourcing objectives and requirements while developing strategies to carry out RFPs with suppliers\nSupporting Category Managers in analysing how to approach the commercials of new sourcing activities (e.g. reviewing possible pricing structures for the products or services, deep-diving into supplier cost structures etc.)\nEvaluating supplier responses to sourcing events, including quantitative analysis of costs, and presenting comparative results to responses against other suppliers.\nWorking with complex data sets to formulate meaningful business insights\nPresenting findings to senior stakeholders within the business\n', 'University degree in an appropriate discipline\n2+ Years experience in Analytics (preferably within Procurement)\nResearch skills for understanding our non-trade industries (e.g. Supply Chain, IT, Equipment)\nHigh ability in Microsoft Excel (advanced formulas, dashboard presentations etc.)\nSound understanding of commonly used IT systems within Woolworths - eg. Ariba, Tableau, SQL\n']"
News Corp Australia,"['\nDevelop well architected  tested code that support the business requirements\nBe the Subject Matter Expert for Big Data Platform(s)\nMentor Data Engineers on good engineering practices and coding standards\nRecommend technologies to use to take advantage of development capabilities for new and existing projects', '\nProven career history in data science  engineering\nDevelopment in Python, Scala / Java\nExtensive experience using and maintaining AWS environments\nExperience leading a team of engineers\nCan identify tasks which require automation and automate them\nCode reviews and automated testing are part of your DNA\nStrong experience in SQL and NOSQL databases\nExperience in version control systems (GIT)\nExperience with Spark and/or clustered technologies\nExperience with Airflow or similar scheduler and monitor workflow tools.', '\nCollaborative environment\nOpportunity to innovate, challenge the norm and pioneer the way forward\nVariety of work where no two days are the same\nExposure to global operations and networks\nMake a difference as part of Australia’s most influential media organisation']"
Cognizant Technology Solutions,"['Experience in data profiling, performance tuning in MS SQL Server, OracleExperience in data profiling, performance tuning in MS SQL Server, OracleExperience on cloud platform Microsoft Azure CloudKnowledge of RDBMS like MS SQL Server, Oracle', 'Senior data modeler with Hands-on experience on Erwin data modeling toolData warehouse concepts like relational modeling, normalization, sub-types, super-types, dimensional modeling, EDW, change data capture etc.Knowledge of RDBMS like MS SQL Server, OracleExperience in data profiling, performance tuning in MS SQL Server, OracleExperience on cloud platform Microsoft Azure CloudDevelop the logical data model based on the understanding of the conceptual model and conduct data profiling with the objective of delivering high quality data models and high quality of data within the limits of standards defined by Cognizant, client and industry.Associate should be able to work with different horizontals within customer and Client, elicit the requirements, prepare the Logical  Physical Data Model, Prepare the Source to Target Mapping for the data Model, Designating relationships between data fields, layout the blue print for a design, which will be physically built on the system.Organize the integration of data and migration activities to enhance efficiency.', 'Data Modeler: 5 years (Preferred)', 'The candidate can work permanently with no restriction on hours (Preferred)']"
Woolworths Group,"[""Be an integral part of one of Australia's largest and most exciting supply chain networks.\nJoin one of Australia’s largest retailers, with more than 3,000 stores across Australia and New Zealand. The Woolworths Group is continually expanding and renewing its operations.\nBased in our Bella Vista office with occasional travel to our other locations in Western Sydney - excellent facilities and employee benefits\n"", 'Accurately managing financial reporting and data for distribution centre volume and costs, with a specific focus on understanding key drivers and providing insights\nSupporting the Senior Analyst with the forecasting and budgeting processes for distribution centre volume and costs\nIdentifying, developing and implementing opportunities and recommendations for more efficient and insightful reporting processes\nWorking collaboratively with team members and other business partners to achieve business objectives\nSupporting the Senior Analyst with providing coaching and support to analysts across our distribution centres nationally\nProviding decision support and advice to the leadership team and other stakeholders\nProviding timely and accurate analytical support for business cases, network solutions and benefits tracking\nUnderstanding, adhering to and promoting all relevant company policies and procedures\n', 'Advanced Excel experience;\nExperience with SAP ERP, SAP BW, TM1, and Google programs (desirable);\nRelevant degree qualification\n']"
"Marsh & McLennan Companies, Inc.","['\nDrive business development and sales, including liaising with Oliver Wyman partners, crafting sales materials, developing proposals, and actively taking part in client sales meetings\nBe able to drive the prototyping process for new applications and concepts, including hands-on development of initial demonstrations\nEstablish successful working relationships with clients, particularly commercial, IT and BI/analytics departments, to ensure that Oliver Wyman can hit the ground running on day 1\nBe the interface between the consulting project team, the client, and the broader OW Labs team\nUse agile project management to ensure projects are successfully delivered to a high-quality standard, on time and within budget\nEnsure you and others understand the business requirements for the work being delivered, so you can rapidly make important and evolving decisions about how to design and implement solutions\nWork with our world class Platform team to meet project team and client performance and security requirements\nSolve the challenging technical problems that put delivery at risk, either through driving the thinking for your team or developing the answer yourself\nEnsure that the final project deliverable is transitioned smoothly into ongoing support by the Labs support organization or client', '\n4 years + of experience in professional services such as consulting or finance or a challenging role in another business\nSignificant time spent providing deliverables which are technical in nature, such as software deployment or analytic models', '\nInterest in advanced technology, data science, software development or systems engineering', '\nFamiliarity and some experience with programming languages such as SQL, R, Python, JavaScript\nStrong analytical and synthesis skills and ability to conduct and leverage sophisticated analyses to identify trends, draw conclusions and present recommendations\nRelevant experience in project-based, team-oriented environments and a track record of leading or working in teams and delivering against tight deadlines in fast paced and demanding environments', '\nOutstanding communication skills and comfort in presenting to senior executives\nUndergraduate or advanced degree, MBA or equivalent from a top academic program\nDemonstrated ability to work in teams and lead where appropriate\nSoftware and technology experience in a professional setting\nProficiency in one or more Southeast Asian languages would be advantageous but not required\nWillingness to travel\nPassion for working with technology to create meaningful and sustainable change with our clients\nDetermination to ensure that sustainability permeates the OW Labs approach\nTechnical confidence and an ability to balance difficult short-term decisions with the goal of delivering better longer-term results for OW, OW Labs, project teams and strategic partner firms', '\nFamiliarity and some experience with programming languages such as SQL, R, Python, JavaScript']"
Commonwealth Bank,"['Perform deep diagnostic reviews on issues and providing robust insights to help inform change/project requirements\nEngage and influence stakeholders (internal and external to FAS) to ensure the successful delivery of agreed projects on time\nRaise, investigate, document and resolve potential risks which may impact our customers or business\nTake ownership of agreed actions through engaging with multiple stakeholders, facilitating workshops, developing training packs and communications, with follow up activities to support the success of the change.\nBe a risk culture change advocate and helping to embed a risk and control awareness across the business\nReview and upload standard operating procedures to FAS iSource\n ', 'Strong understanding of the FAS business\nStrong Risk Mindset\n12 months experience within FA Hardship/ PSPR\nStrong knowledge of retail banking, with knowledge of call centres and collections a distinct advantage\nStrong desire to get curious and dig deep into issues which can identify critical threats and opportunities and take action to resolve accordingly\nAbility to analyse trends, diagnose problems and issues and then recommend appropriate actions dealing with the underlying root causes\nAble to work on many projects concurrently, and successfully navigate conflicting priorities\n']"
News Corp Australia,"['\nDevelop well architected  tested code that support the business requirements\nBe the Subject Matter Expert for Big Data Platform(s)\nMentor Data Engineers on good engineering practices and coding standards\nRecommend technologies to use to take advantage of development capabilities for new and existing projects', '\nProven career history in data science  engineering\nDevelopment in Python, Scala / Java\nExtensive experience using and maintaining AWS environments\nExperience leading a team of engineers\nCan identify tasks which require automation and automate them\nCode reviews and automated testing are part of your DNA\nStrong experience in SQL and NOSQL databases\nExperience in version control systems (GIT)\nExperience with Spark and/or clustered technologies\nExperience with Airflow or similar scheduler and monitor workflow tools.', '\nCollaborative environment\nOpportunity to innovate, challenge the norm and pioneer the way forward\nVariety of work where no two days are the same\nExposure to global operations and networks\nMake a difference as part of Australia’s most influential media organisation']"
University of New South Wales,"['Fixed Term – 12 months\n$68,152 - 84,116 plus 9.5% Super\nOne of Australia’s leading research  teaching universities\n', '\nRelevant qualifications or an equivalent level of knowledge gained through any other combination of education, training and/or experience.\nExcellent computing skills including spread sheets, data bases, SQL and a demonstrated ability to learn new systems and ways of working.\nAn understanding of Data and Information Governance, Business Intelligence, Data Warehousing and Data Quality concepts.\nDemonstrated ability to problem solve and apply analytical skills.\nCapacity to work in small cross disciplinary teams and independently.\nAbility to deal with multiple deadlines and changing requirements.\nGood verbal and written communication skills.\n']"
Veeva Systems,"['\nManage OpenData Delivery projects from conception to completion within scope and on time.\nManage customer relationships, provide primary support to the customer during project implementation, post-implementation support and maintenance, acting as a subject matter expert of Veeva OpenData Delivery offering.\nDesign, develop and test CRM and MDM integration solutions as well as successful deployment to ensure project success.\nImplement automated data collection and validation processes\nAnalyse and perform data matching, cleansing, validation and load on incoming customer data by using/developing ETL processes for automated workflows.\nCreate project documentation and create functional specifications for internal/external stakeholders.\nCreate project status reports and provide updates to key stakeholders\nProvide day to day Veeva OpenData support to both internal and external customers', '\nDegree qualified in Computer Science or Business IT or Information Systems\nAt least 3 years in CRM development and implementation, SaaS Salesforce experience preferred\nGood communication skills\nGood English skills\nAbility to work with customers and team members based in different regions and time zones\nHighly organized, advanced planning and analytical skills.\nAbility to perform in high demand matrix team-based environment\nExtensive experience working with relational databases and the SQL language i.e. MS SQL Server, MySQL, PostgreSQL, and Analytical/Database Tools\nProficiency in analysis query language like PowerQuery or DAX, and reporting tools such as Tableau.\nProficiency in a scripting language (Python, R, Perl, Ruby, etc.)\nExperience and understanding of ETL concepts\nProficiency working with data to identify trends and anomalies.\nExperience in project management\nAbility to self-manage multiple simultaneous projects', '\nUnderstanding of Master Data Management and systems.\nExperience with medical and life sciences related industries referred\nKnowledge of medical terminology and data quality and compliance standards within the life sciences industry\nExperience with Veeva CRM and/or Veeva Network', '\nAllocations for continuous learning  development (Not applicable for the contract role)\nHealth  wellness programs (Not applicable for the contract role)\nCharitable contributions to charity of your choice (Not applicable for the contract role)\nCoffee, fresh fruits and snacks']"
Woolworths Supermarkets,"['Utilise your commercial and business partnering skills in a dynamic role and be apart of a close knit team\nJoin one of Australia’s leading retail groups, and enjoy the opportunity to grow and make a positive difference.\nBased in our Bella Vista office with excellent facilities and employee benefits\n', 'Partnering with Simpler for Stores Agile project teams to provide financial guidance and insight on end-to-end benefits  cost\nWorking across the business in order to provide analytics and modelling of end to end streams of work, with significant engagement of various stakeholders, both finance and non-finance\nSupporting the project teams to accurately forecast future benefits, store roll out plans and cost for monthly/24 month rolling outlooks, budgeting and strategic planning purposes\nProvide robust analysis of key process improvements to aid in the identification of opportunities and risks\nPartnering with stakeholders to develop workable action plans in relation to adverse trends\nPartnering with the project team to develop  implement robust strategic capital initiatives that are simpler for stores and better for our customers\nProviding clear methodology  reporting for measurement and tracking of project costs, capital spend and benefits realisation\nPresenting financial information, modelling  analytics to Senior stakeholders (both financial  non financial) and Steering committees\nIdentify and implement opportunities that improve processes across the Food Group Finance team\n', 'CA/CPA Qualification preferred\nPrevious experience in a Finance Business Analyst role\nData analysis and modelling skills to analyse and summarise high volumes of data\nThe ability to work across multiple projects and be able to manage changing priorities\n']"
Sectra,"['Product support\nApplications support\nEngineering support\n', 'A master’s or bachelor’s equivalent with strong academic performance\nFluency in English\nA genuine interest in IT and ability and willingness to learn more\nAbility to travel to customer sites as needed\nAs a person, you are a strategic doer, driven by a will to succeed and to make an impact\nLike to work in teams where everyone has a good understanding of the overall picture\n', 'Speak more languages than those required above\nHave interests besides school/work, such as sports, sports leader, music, horseback riding, singing or flying or anything else that makes you stand out from the crowd\nHave experience with other cultures\nHave experience with Windows, clustering, and MS SQL Server\nHave experience with PACS technologies as well as medical imaging workflow and tools\nHave experience from working with IT service desk or customer service\n', 'You believe in what Sectra is trying to do and want to be part of this team\nYou will be given autonomy on how to achieve your goals\nYou will be provided with on the job training, including training at Sectra HQ in Sweden and other internal training\nGreat benefits including flexible work spot options, laptop, phone, top industry pay package\n', 'Go through hands on structured training program on applications, solutions and services\nBe part of our customer service team providing specialist support for our products and services\nBe a part of a team working in close cooperation with the end users\nMeet the customers and understand their day-to-day business and how they work\nUse modern technology and tools\nHave fun!']"
